feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae,total_return,sharpe,max_drawdown,win_rate
price_roberta,4,0.05,1.0,0.4882,-0.1641,0.0334,0.5142,-0.0295,0.0204,-0.1578,-0.2323,-0.4129,0.2559
all_features,6,0.01,3.0,0.4882,-0.0265,0.0317,0.5047,-0.0168,0.0203,-0.1545,-0.1167,-0.5662,0.3744
all_features,2,0.03,3.0,0.4882,-0.0439,0.032,0.467,-0.0254,0.0205,-0.2527,-0.3813,-0.4992,0.3555
all_features,4,0.03,10.0,0.4882,-0.0446,0.0321,0.5142,-0.0228,0.0204,0.0165,0.2828,-0.471,0.327
all_features,3,0.05,3.0,0.4882,-0.0897,0.0326,0.4575,-0.0687,0.0207,-0.1048,-0.0874,-0.4421,0.2701
price_only,6,0.05,3.0,0.4882,-0.1405,0.0332,0.5,-0.104,0.0212,-0.1329,-0.1307,-0.4201,0.2654
price_only,6,0.05,5.0,0.4882,-0.1202,0.0327,0.5094,-0.0847,0.0211,-0.1346,-0.1672,-0.3775,0.2749
price_finbert,8,0.03,10.0,0.4882,-0.066,0.032,0.4717,-0.0407,0.0206,-0.057,0.0973,-0.3712,0.2938
all_features,6,0.05,1.0,0.4882,-0.1246,0.0335,0.4906,-0.098,0.0212,-0.065,0.061,-0.5146,0.2749
price_finbert,8,0.01,3.0,0.4882,-0.0354,0.0318,0.467,-0.0272,0.0204,-0.2019,-0.2872,-0.4991,0.3223
all_features,6,0.01,5.0,0.4882,-0.0217,0.0316,0.5236,-0.0175,0.0203,-0.169,-0.1334,-0.5869,0.3934
all_features,6,0.05,5.0,0.4882,-0.1192,0.033,0.4764,-0.0588,0.0208,0.0246,0.2897,-0.4254,0.2607
price_roberta,3,0.05,3.0,0.4882,-0.1264,0.033,0.4953,-0.031,0.0205,-0.1114,-0.0815,-0.4194,0.2749
price_vader,8,0.05,3.0,0.4882,-0.0693,0.0326,0.4623,-0.1288,0.0214,0.0682,0.4013,-0.3063,0.2891
price_only,8,0.03,10.0,0.4882,-0.0615,0.032,0.4858,-0.0479,0.0207,-0.1254,-0.1304,-0.3789,0.2844
price_vader,6,0.05,5.0,0.4882,-0.1054,0.0329,0.4528,-0.0975,0.0209,0.0746,0.4153,-0.3431,0.2749
price_vader,8,0.01,5.0,0.4882,-0.0228,0.0316,0.4717,-0.0191,0.0205,0.1681,0.6192,-0.257,0.327
all_features,3,0.03,1.0,0.4882,-0.076,0.0323,0.4528,-0.0583,0.0208,0.0784,0.4269,-0.3658,0.2938
price_roberta,4,0.03,5.0,0.4882,-0.0815,0.0324,0.4906,-0.0269,0.0203,-0.2038,-0.3703,-0.4205,0.2891
price_finbert,8,0.05,5.0,0.4882,-0.0939,0.0324,0.5,-0.0502,0.0207,-0.1366,-0.2122,-0.3913,0.2559
price_roberta,4,0.05,5.0,0.4834,-0.1504,0.0332,0.4858,-0.0465,0.0205,-0.2991,-0.6609,-0.5189,0.2844
all_features,6,0.03,10.0,0.4834,-0.0487,0.0319,0.4811,-0.0305,0.0204,0.0256,0.3049,-0.4975,0.3128
price_finbert,8,0.01,5.0,0.4834,-0.0279,0.0317,0.5094,-0.0209,0.0203,-0.1539,-0.1423,-0.5057,0.327
price_roberta,6,0.03,3.0,0.4834,-0.1158,0.033,0.5047,-0.0525,0.0206,-0.1398,-0.2092,-0.4084,0.2464
all_features,4,0.03,3.0,0.4834,-0.0802,0.0324,0.4953,-0.0487,0.0207,-0.2101,-0.3757,-0.4834,0.2891
price_only,4,0.03,1.0,0.4834,-0.1016,0.0325,0.4953,-0.0263,0.0205,-0.0388,0.1019,-0.3175,0.2512
price_only,6,0.05,10.0,0.4834,-0.1072,0.0329,0.4717,-0.0816,0.0211,-0.0434,0.0988,-0.3498,0.2512
all_features,4,0.03,5.0,0.4834,-0.0726,0.0324,0.4906,-0.0337,0.0205,-0.2262,-0.3807,-0.5001,0.3175
price_only,6,0.03,5.0,0.4834,-0.0904,0.0328,0.4811,-0.0594,0.0208,-0.0361,0.1406,-0.36,0.2654
price_vader,6,0.03,3.0,0.4834,-0.0743,0.0324,0.4906,-0.0606,0.0207,-0.0889,-0.0239,-0.3941,0.2938
price_finbert,3,0.03,5.0,0.4834,-0.059,0.0321,0.4623,-0.03,0.0206,-0.1763,-0.3022,-0.4823,0.2749
price_only,8,0.05,5.0,0.4834,-0.1246,0.033,0.4953,-0.0852,0.021,-0.0226,0.1775,-0.4379,0.2891
price_only,8,0.03,3.0,0.4834,-0.0868,0.0326,0.4811,-0.0856,0.021,-0.0494,0.1061,-0.3963,0.2749
price_finbert,8,0.05,10.0,0.4834,-0.0803,0.0326,0.4953,-0.0421,0.0206,0.0207,0.2674,-0.3293,0.2607
price_roberta,8,0.05,10.0,0.4834,-0.0998,0.033,0.5283,-0.0532,0.0205,-0.1232,-0.127,-0.3846,0.2701
price_roberta,6,0.05,5.0,0.4787,-0.1315,0.0329,0.5047,-0.0971,0.0209,-0.1916,-0.3832,-0.4171,0.2417
price_roberta,8,0.01,10.0,0.4787,-0.0236,0.0316,0.5283,-0.024,0.0203,-0.2256,-0.3955,-0.4448,0.3365
price_roberta,8,0.01,3.0,0.4787,-0.0432,0.032,0.4906,-0.035,0.0205,-0.2615,-0.5427,-0.5282,0.2938
all_features,4,0.03,1.0,0.4787,-0.0875,0.0325,0.4858,-0.0552,0.0208,-0.2747,-0.6457,-0.4879,0.2701
price_only,3,0.05,3.0,0.4787,-0.1129,0.0326,0.4906,-0.031,0.0205,-0.0828,-0.0032,-0.3031,0.2701
price_only,8,0.05,1.0,0.4787,-0.1373,0.0335,0.5,-0.1459,0.0215,-0.1909,-0.3122,-0.429,0.2749
price_only,6,0.05,1.0,0.4787,-0.1514,0.0333,0.4717,-0.1302,0.0215,-0.0636,0.0629,-0.4149,0.2654
all_features,3,0.05,5.0,0.4787,-0.0733,0.0323,0.4575,-0.057,0.0206,-0.2006,-0.3474,-0.5037,0.2844
price_vader,6,0.01,1.0,0.4787,-0.0164,0.0316,0.4717,-0.0295,0.0205,0.1754,0.6329,-0.3683,0.3223
price_finbert,6,0.03,10.0,0.4787,-0.0674,0.0323,0.4906,-0.0218,0.0203,0.0784,0.4251,-0.4319,0.2796
all_features,2,0.05,3.0,0.4739,-0.0593,0.032,0.467,-0.0452,0.0207,-0.3064,-0.6766,-0.4562,0.3033
price_roberta,4,0.03,3.0,0.4739,-0.0971,0.0326,0.5094,-0.0356,0.0204,-0.2944,-0.6846,-0.5014,0.2654
all_features,4,0.05,3.0,0.4739,-0.0981,0.0327,0.4481,-0.0703,0.0209,-0.1903,-0.3719,-0.4239,0.2464
price_finbert,6,0.05,3.0,0.4739,-0.1282,0.033,0.4575,-0.0565,0.0207,-0.2389,-0.5559,-0.4055,0.2464
price_roberta,4,0.03,1.0,0.4739,-0.1023,0.0327,0.4717,-0.033,0.0205,-0.2153,-0.448,-0.3577,0.2464
price_roberta,6,0.03,5.0,0.4739,-0.1019,0.0327,0.5189,-0.0341,0.0203,-0.2261,-0.4699,-0.4447,0.2701
price_vader,6,0.01,3.0,0.4739,-0.0255,0.0317,0.5189,-0.0202,0.0204,0.1176,0.5138,-0.3824,0.3318
price_only,6,0.03,10.0,0.4739,-0.0667,0.0323,0.4623,-0.0494,0.0207,-0.1577,-0.2347,-0.4712,0.2654
price_finbert,3,0.03,1.0,0.4739,-0.0671,0.0323,0.4717,-0.0273,0.0206,-0.1714,-0.2682,-0.4877,0.2701
price_roberta,8,0.03,5.0,0.4739,-0.1008,0.0328,0.4858,-0.0635,0.0208,-0.2599,-0.5447,-0.5575,0.2559
price_vader,8,0.03,5.0,0.4739,-0.063,0.0323,0.5189,-0.0397,0.0205,0.0533,0.3638,-0.4375,0.2607
price_roberta,6,0.05,3.0,0.4692,-0.162,0.0336,0.5708,-0.0585,0.0204,-0.2044,-0.4556,-0.4566,0.2275
price_roberta,8,0.01,1.0,0.4692,-0.0593,0.0323,0.5,-0.041,0.0205,-0.2769,-0.6,-0.5573,0.2844
all_features,6,0.01,1.0,0.4692,-0.0333,0.0319,0.4906,-0.0246,0.0203,-0.2196,-0.3205,-0.5267,0.3318
price_finbert,8,0.05,1.0,0.4692,-0.1094,0.0328,0.4245,-0.0846,0.0212,-0.3111,-0.7714,-0.4939,0.2464
all_features,8,0.03,5.0,0.4692,-0.0647,0.0324,0.467,-0.0409,0.0205,-0.1539,-0.1945,-0.4162,0.2938
all_features,8,0.01,3.0,0.4692,-0.0427,0.0319,0.5189,-0.016,0.0202,-0.2692,-0.4812,-0.5602,0.3318
all_features,2,0.05,5.0,0.4692,-0.0635,0.0322,0.4906,-0.0365,0.0206,-0.2476,-0.4599,-0.4826,0.3081
price_only,6,0.03,1.0,0.4692,-0.1086,0.0329,0.4906,-0.0718,0.0208,-0.1593,-0.2288,-0.4451,0.2464
price_only,8,0.05,3.0,0.4692,-0.1223,0.0333,0.4858,-0.1015,0.021,-0.1134,-0.0626,-0.4973,0.2701
price_roberta,4,0.05,3.0,0.4692,-0.1336,0.0332,0.5094,-0.055,0.0207,-0.3111,-0.7261,-0.4663,0.2701
price_roberta,6,0.03,10.0,0.4692,-0.0883,0.0325,0.5189,-0.0172,0.0202,-0.2237,-0.4126,-0.5174,0.2891
price_vader,8,0.01,3.0,0.4692,-0.0212,0.0317,0.467,-0.0275,0.0205,0.0818,0.4344,-0.2998,0.3128
price_roberta,8,0.05,3.0,0.4645,-0.1755,0.0339,0.5236,-0.1024,0.0209,-0.3042,-0.7767,-0.4542,0.2275
price_roberta,6,0.01,3.0,0.4645,-0.0433,0.032,0.4953,-0.0237,0.0203,-0.2911,-0.5943,-0.5588,0.3223
all_features,8,0.05,1.0,0.4645,-0.1606,0.0338,0.5,-0.079,0.021,-0.3531,-0.8874,-0.5739,0.2607
price_roberta,6,0.05,1.0,0.4645,-0.158,0.0337,0.5425,-0.0888,0.0207,-0.3233,-0.8129,-0.4845,0.2464
price_finbert,8,0.03,3.0,0.4645,-0.0865,0.0323,0.4623,-0.0444,0.0207,-0.3725,-1.0213,-0.5415,0.2464
price_roberta,8,0.01,5.0,0.4645,-0.0392,0.0319,0.5236,-0.0301,0.0204,-0.3093,-0.6581,-0.528,0.3223
all_features,8,0.03,3.0,0.4645,-0.1023,0.033,0.4811,-0.0569,0.0207,-0.2659,-0.5233,-0.4818,0.2891
price_roberta,8,0.05,5.0,0.4597,-0.1369,0.0333,0.5519,-0.0978,0.0209,-0.3019,-0.7501,-0.5163,0.2322
price_finbert,2,0.05,5.0,0.4597,-0.0619,0.0323,0.4434,-0.0321,0.0207,-0.1922,-0.3954,-0.3456,0.2607
price_roberta,8,0.03,1.0,0.4597,-0.1126,0.0332,0.4906,-0.0702,0.0209,-0.3185,-0.7711,-0.5068,0.2654
all_features,6,0.05,3.0,0.4597,-0.1079,0.0327,0.4858,-0.0545,0.0207,-0.2251,-0.402,-0.4887,0.2559
all_features,4,0.05,5.0,0.4597,-0.0901,0.0328,0.4906,-0.0738,0.021,-0.1918,-0.3363,-0.5417,0.2559
all_features,6,0.03,3.0,0.455,-0.0841,0.0328,0.4858,-0.0447,0.0205,-0.3104,-0.7026,-0.511,0.2701
all_features,6,0.05,10.0,0.455,-0.1233,0.0332,0.4387,-0.0362,0.0207,-0.3974,-1.1546,-0.5009,0.2559
price_vader,8,0.03,1.0,0.455,-0.0677,0.0326,0.4434,-0.1055,0.021,0.0077,0.2311,-0.3448,0.2559
price_roberta,8,0.03,10.0,0.455,-0.0726,0.0324,0.5283,-0.0361,0.0204,-0.254,-0.5301,-0.5034,0.2796
all_features,8,0.05,3.0,0.455,-0.1394,0.0335,0.4434,-0.0716,0.0208,-0.3114,-0.7442,-0.5449,0.2701
price_only,4,0.05,1.0,0.455,-0.1488,0.033,0.5142,-0.0495,0.0206,-0.2533,-0.5567,-0.446,0.2464
price_vader,8,0.03,10.0,0.4502,-0.0407,0.032,0.4953,-0.0416,0.0205,-0.0969,-0.0422,-0.4489,0.2749
all_features,8,0.05,5.0,0.4502,-0.1101,0.0332,0.5283,-0.0651,0.0207,-0.3379,-0.8311,-0.5361,0.237
price_finbert,2,0.05,3.0,0.4502,-0.0719,0.0325,0.4575,-0.0268,0.0206,-0.2879,-0.8196,-0.4212,0.2559
price_vader,8,0.03,3.0,0.4502,-0.0677,0.0324,0.4717,-0.078,0.0209,-0.276,-0.7257,-0.4673,0.2559
all_features,3,0.03,3.0,0.4455,-0.0627,0.0322,0.4906,-0.0387,0.0206,-0.3399,-0.7913,-0.5283,0.2749
price_vader,6,0.05,3.0,0.4455,-0.1009,0.033,0.4528,-0.0962,0.021,-0.358,-1.0192,-0.5242,0.2654
price_roberta,6,0.03,1.0,0.4408,-0.156,0.0336,0.5142,-0.0727,0.0207,-0.4271,-1.3734,-0.5042,0.1943
all_features,6,0.03,1.0,0.4408,-0.1204,0.0333,0.4198,-0.0734,0.0209,-0.3653,-0.9378,-0.5495,0.2796
price_roberta,8,0.05,1.0,0.436,-0.1439,0.0337,0.4481,-0.1228,0.0215,-0.2929,-0.6122,-0.5261,0.2322
price_finbert,8,0.03,1.0,0.4313,-0.0577,0.0322,0.4528,-0.0522,0.0208,-0.2438,-0.5813,-0.4239,0.2322
price_finbert,2,0.05,1.0,0.4313,-0.0847,0.0327,0.4811,-0.0313,0.0207,-0.3906,-1.2843,-0.4972,0.237
all_features,8,0.03,10.0,0.4313,-0.0453,0.0321,0.5047,-0.0242,0.0204,-0.364,-0.8288,-0.5824,0.2796
