feature_set,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae,total_return,sharpe,max_drawdown,win_rate
price_roberta,0.5308,-0.0017,0.0312,0.5519,-0.0269,0.0204,0.314,0.848,-0.3685,0.4929
price_only,0.5213,-0.0045,0.0313,0.5142,-0.0255,0.0205,0.0249,0.3519,-0.4684,0.5024
price_finbert,0.4929,-0.0109,0.0315,0.5377,-0.0325,0.0205,-0.1623,-0.0457,-0.5526,0.4787
price_vader,0.4834,-0.0121,0.0314,0.4953,-0.0272,0.0205,-0.2365,-0.2482,-0.5626,0.4597
all_features,0.4645,-0.0235,0.0317,0.5425,-0.0317,0.0204,-0.3233,-0.4917,-0.5518,0.4455
