feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
all_features,6,0.05,5.0,0.5213,-0.0044,0.0312,0.5472,-0.0036,0.0202
price_only,2,0.05,10.0,0.5213,-0.0022,0.0312,0.5472,-0.0049,0.0202
price_vader,4,0.03,10.0,0.5213,-0.0006,0.0312,0.5472,-0.0063,0.0202
price_vader,4,0.05,3.0,0.5213,-0.002,0.0312,0.5472,-0.0012,0.0202
price_vader,4,0.05,5.0,0.5213,-0.0016,0.0312,0.5472,-0.0017,0.0202
price_vader,4,0.05,10.0,0.5213,-0.0013,0.0312,0.5472,-0.0022,0.0202
price_vader,6,0.01,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0019,0.0202
all_features,3,0.03,5.0,0.5213,-0.0036,0.0312,0.5472,-0.0023,0.0202
all_features,3,0.03,10.0,0.5213,-0.0034,0.0312,0.5472,-0.0022,0.0202
all_features,3,0.05,1.0,0.5213,-0.0021,0.0312,0.5472,-0.0032,0.0202
all_features,3,0.05,3.0,0.5213,-0.0023,0.0312,0.5472,-0.0029,0.0202
all_features,3,0.05,10.0,0.5213,-0.004,0.0312,0.5472,-0.0026,0.0202
all_features,4,0.01,1.0,0.5213,-0.0021,0.0312,0.5472,-0.0024,0.0202
all_features,4,0.01,3.0,0.5213,-0.0021,0.0312,0.5472,-0.0027,0.0202
price_roberta,6,0.03,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
all_features,4,0.01,10.0,0.5213,-0.0028,0.0312,0.5472,-0.002,0.0202
all_features,3,0.01,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0021,0.0202
price_vader,6,0.03,5.0,0.5213,-0.0024,0.0312,0.5472,-0.0028,0.0202
price_vader,6,0.03,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0018,0.0202
price_vader,6,0.05,3.0,0.5213,-0.0002,0.0312,0.5472,-0.0021,0.0202
price_vader,6,0.05,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0023,0.0202
price_vader,6,0.05,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0018,0.0202
all_features,2,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
all_features,2,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
all_features,2,0.03,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0024,0.0202
all_features,2,0.03,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0022,0.0202
all_features,2,0.03,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0018,0.0202
all_features,2,0.03,10.0,0.5213,-0.0026,0.0312,0.5472,-0.0019,0.0202
all_features,2,0.05,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0022,0.0202
all_features,2,0.05,3.0,0.5213,-0.0023,0.0312,0.5472,-0.0028,0.0202
all_features,2,0.05,5.0,0.5213,-0.0027,0.0312,0.5472,-0.0018,0.0202
all_features,2,0.05,10.0,0.5213,-0.0026,0.0312,0.5472,-0.002,0.0202
price_vader,6,0.03,3.0,0.5213,-0.0014,0.0312,0.5472,-0.0022,0.0202
all_features,4,0.05,10.0,0.5213,-0.004,0.0312,0.5472,-0.0024,0.0202
price_only,8,0.01,5.0,0.5213,-0.0003,0.0312,0.5472,-0.0024,0.0202
price_only,4,0.03,1.0,0.5213,-0.001,0.0312,0.5472,-0.0024,0.0202
price_only,4,0.03,3.0,0.5213,-0.0027,0.0312,0.5472,-0.0025,0.0202
price_only,4,0.05,5.0,0.5213,-0.0029,0.0312,0.5472,-0.0029,0.0202
price_finbert,2,0.03,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0021,0.0202
price_finbert,2,0.03,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,2,0.03,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,2,0.03,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,2,0.05,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0023,0.0202
price_finbert,2,0.05,3.0,0.5213,-0.0022,0.0312,0.5472,-0.0031,0.0202
price_finbert,2,0.05,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0016,0.0202
price_finbert,2,0.05,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0016,0.0202
price_finbert,3,0.01,1.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_roberta,4,0.01,10.0,0.5213,-0.0021,0.0312,0.5472,-0.002,0.0202
price_finbert,3,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,3,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,3,0.05,1.0,0.5213,-0.0023,0.0312,0.5472,-0.0024,0.0202
price_finbert,3,0.05,3.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_finbert,3,0.05,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_finbert,3,0.05,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0018,0.0202
price_finbert,4,0.01,1.0,0.5213,-0.0026,0.0312,0.5472,-0.0019,0.0202
price_finbert,4,0.01,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,4,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,4,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,4,0.03,1.0,0.5213,-0.0027,0.0312,0.5472,-0.002,0.0202
price_finbert,4,0.03,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,4,0.03,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,4,0.03,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0019,0.0202
price_finbert,2,0.01,1.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,3,0.01,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
all_features,6,0.01,1.0,0.5213,-0.0018,0.0312,0.5472,-0.0033,0.0202
all_features,6,0.05,10.0,0.5213,-0.0023,0.0312,0.5472,-0.0023,0.0202
all_features,8,0.01,1.0,0.5213,-0.0024,0.0312,0.5472,-0.0018,0.0202
price_only,2,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0019,0.0202
price_only,2,0.01,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0019,0.0202
all_features,6,0.01,3.0,0.5213,-0.002,0.0312,0.5472,-0.0018,0.0202
all_features,6,0.01,5.0,0.5213,-0.0024,0.0312,0.5472,-0.0021,0.0202
all_features,6,0.01,10.0,0.5213,-0.0023,0.0312,0.5472,-0.002,0.0202
all_features,6,0.03,1.0,0.5213,-0.0018,0.0312,0.5472,-0.004,0.0202
all_features,6,0.03,3.0,0.5213,-0.0008,0.0312,0.5472,-0.002,0.0202
all_features,6,0.03,5.0,0.5213,-0.003,0.0312,0.5472,-0.0025,0.0202
all_features,6,0.03,10.0,0.5213,-0.0011,0.0312,0.5472,-0.0022,0.0202
price_only,2,0.05,5.0,0.5213,-0.0036,0.0312,0.5472,-0.0019,0.0202
