feature_set,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
all_features,0.5166,-0.082,0.0322,0.5283,-0.0221,0.0203
price_vader,0.5024,-0.0722,0.0322,0.5094,-0.0494,0.0205
price_finbert,0.5024,-0.0652,0.0322,0.5094,-0.0127,0.02
price_roberta,0.4929,-0.1168,0.0327,0.5,-0.0797,0.0208
price_only,0.4645,-0.1298,0.0331,0.5472,-0.0494,0.0203
