iter	Passed	Remaining
411	4196	896
412	4215	887
413	4228	878
414	4260	872
415	4271	862
416	4283	852
417	4293	842
418	4303	832
419	4313	821
420	4323	811
421	4333	800
422	4342	790
423	4352	780
424	4364	770
425	4373	759
426	4383	749
427	4392	738
428	4402	728
429	4411	718
430	4420	707
431	4429	697
432	4439	686
433	4448	676
434	4458	666
435	4467	655
436	4477	645
437	4486	635
438	4496	624
439	4505	614
440	4516	604
441	4525	593
442	4534	583
443	4543	573
444	4551	562
445	4560	552
446	4568	541
447	4576	531
448	4586	520
449	4596	510
450	4603	500
451	4611	489
452	4619	479
453	4627	468
454	4635	458
455	4644	448
456	4653	437
457	4661	427
458	4669	417
459	4678	406
460	4687	396
461	4697	386
462	4706	376
463	4714	365
464	4722	355
465	4730	345
466	4738	334
467	4745	324
468	4754	314
469	4763	304
470	4772	293
471	4781	283
472	4789	273
473	4798	263
474	4807	253
475	4815	242
476	4823	232
477	4831	222
478	4842	212
479	4851	202
480	4860	192
481	4871	181
482	4880	171
483	4889	161
484	4898	151
485	4908	141
486	4916	131
487	4925	121
488	4937	111
489	4947	100
490	4957	90
491	4966	80
492	4975	70
493	4984	60
494	4993	50
495	5002	40
496	5011	30
497	5021	20
498	5031	10
499	5040	0
