iter	RMSE
0	0.03140853458
1	0.03138203205
2	0.03137249801
3	0.03134538112
4	0.03126611153
5	0.03125026819
6	0.03120216757
7	0.03115335754
8	0.03108871763
9	0.03107791742
10	0.03103863209
11	0.03098892183
12	0.03097453522
13	0.03086004769
14	0.03078107823
15	0.0307552349
16	0.03074185511
17	0.03073145696
18	0.03072017141
19	0.03071434437
20	0.03064257757
21	0.03062248679
22	0.03056375192
23	0.0304698526
24	0.03045094539
25	0.03042747459
26	0.0303768337
27	0.03031262027
28	0.03029369232
29	0.03027490515
30	0.03022180028
31	0.03015225257
32	0.03009629963
33	0.03005140002
34	0.03003500298
35	0.03002255598
36	0.02997724626
37	0.02992425371
38	0.02990783308
39	0.02983934002
40	0.02979433261
41	0.02976101119
42	0.02972210398
43	0.02964671141
44	0.02962726979
45	0.02957559508
46	0.02951229299
47	0.02945817647
48	0.02937789538
49	0.02929562037
50	0.02929198632
51	0.02928183804
52	0.02923720842
53	0.0291983315
54	0.02909570658
55	0.02903626096
56	0.02895872004
57	0.02887393841
58	0.02886018227
59	0.02879103496
60	0.02872558553
61	0.02869260309
62	0.02868145655
63	0.02866319461
64	0.02862410302
65	0.0285574474
66	0.0284953047
67	0.02843390302
68	0.02837116858
69	0.02835895821
70	0.02834674645
71	0.02831396056
72	0.02825562676
73	0.02820329511
74	0.02815170885
75	0.02809488691
76	0.02802149546
77	0.02794832944
78	0.02787256716
79	0.02781260582
80	0.02777175476
81	0.02773036329
82	0.02771429505
83	0.02768411478
84	0.0276582368
85	0.02763093845
86	0.02760358782
87	0.0275822234
88	0.02753189317
89	0.02746608198
90	0.02740701512
91	0.02737136347
92	0.02734765356
93	0.02729260244
94	0.02721875645
95	0.02718672622
96	0.02716374641
97	0.02715272032
98	0.02713755121
99	0.02711318268
100	0.02705139374
101	0.02701868543
102	0.02696178915
103	0.02691783987
104	0.02689421982
105	0.0268859949
106	0.02687921239
107	0.0268678911
108	0.02684555265
109	0.02681906936
110	0.02676166063
111	0.02675491676
112	0.02674074895
113	0.02672106237
114	0.02670985774
115	0.02666235637
116	0.02661205281
117	0.02656106477
118	0.02651239135
119	0.02645304058
120	0.02638412147
121	0.02633620555
122	0.02629377104
123	0.0262696891
124	0.02620834976
125	0.0261828724
126	0.02617157736
127	0.02611665837
128	0.02611205134
129	0.02609471763
130	0.02605230582
131	0.02603676613
132	0.02602155543
133	0.02599889987
134	0.0259332291
135	0.0258373382
136	0.02581168168
137	0.02579484644
138	0.02578557012
139	0.02577944863
140	0.02575842256
141	0.02575164801
142	0.02572733982
143	0.02570690516
144	0.0257025496
145	0.02568473584
146	0.02561676868
147	0.02560442091
148	0.02559147741
149	0.02557576922
150	0.02556434389
151	0.02551131863
152	0.02550461945
153	0.02543888412
154	0.02542496801
155	0.02541208876
156	0.02535845642
157	0.02532309317
158	0.02531644574
159	0.02529271373
160	0.02528818876
161	0.02527688349
162	0.02523523442
163	0.02520983705
164	0.02512496489
165	0.02512062104
166	0.02504066842
167	0.02502860678
168	0.0250100907
169	0.02495914461
170	0.02495477933
171	0.02494061312
172	0.02493359058
173	0.02490058348
174	0.02487890508
175	0.02487116759
176	0.02484129071
177	0.02480508425
178	0.02479804321
179	0.02479353654
180	0.02477814356
181	0.02476051346
182	0.02475395164
183	0.02473627748
184	0.02471984275
185	0.02471153872
186	0.0247005446
187	0.02469242786
188	0.02468719567
189	0.02467841987
190	0.02467301992
191	0.02466888775
192	0.02466320153
193	0.02465099111
194	0.02464747468
195	0.02464070098
196	0.02461249613
197	0.02460818401
198	0.02460131394
199	0.0245956661
200	0.02458762379
201	0.02453006508
202	0.02452158695
203	0.02450516038
204	0.02449734977
205	0.02449194958
206	0.02448780378
207	0.02441918679
208	0.02440847611
209	0.02439125715
210	0.024380907
211	0.02437300356
212	0.02436211477
213	0.02435681234
214	0.02432959207
215	0.02432035193
216	0.02431436124
217	0.02423228131
218	0.02421840979
219	0.02421202608
220	0.02419575748
221	0.02417549595
222	0.02416964749
223	0.02415983496
224	0.02413258783
225	0.02405556298
226	0.02404875778
227	0.02396600435
228	0.0239060619
229	0.0238906552
230	0.02384854328
231	0.02384157581
232	0.02383158453
233	0.02382574352
234	0.02380337402
235	0.02379039628
236	0.02375754429
237	0.02374259747
238	0.02368506466
239	0.02361183768
240	0.02358520973
241	0.02351761193
242	0.02346886757
243	0.0234560819
244	0.02341587581
245	0.02340768273
246	0.02340446905
247	0.02338877881
248	0.02333567862
249	0.02324321624
250	0.02323968652
251	0.0231431635
252	0.02304985798
253	0.02303979527
254	0.02293617813
255	0.02291883314
256	0.02291609347
257	0.02290042191
258	0.0228844875
259	0.02285496769
260	0.02284833424
261	0.02277281071
262	0.02273302483
263	0.0226988417
264	0.02269085355
265	0.02267466469
266	0.02259571887
267	0.02251047877
268	0.02247124918
269	0.02245295855
270	0.02244822636
271	0.02241109897
272	0.0224047281
273	0.02239832472
274	0.02232552457
275	0.0223121504
276	0.022305845
277	0.02221964475
278	0.02219055827
279	0.02217318555
280	0.02213094969
281	0.02210054401
282	0.0220954469
283	0.02206069651
284	0.02202677793
285	0.02202277162
286	0.02193644969
287	0.02192605837
288	0.02191992637
289	0.02191731213
290	0.02189441342
291	0.02188340864
292	0.02187446984
293	0.02185001576
294	0.02175908821
295	0.02168520928
296	0.0216114675
297	0.02156983718
298	0.02155305905
299	0.02146620877
300	0.02143824386
301	0.02141388125
302	0.02137990724
303	0.02131884439
304	0.0213168219
305	0.02130048134
306	0.02122730884
307	0.02113722857
308	0.02112578135
309	0.02107667987
310	0.0209946402
311	0.02094197384
312	0.02088798305
313	0.02087055861
314	0.02086197196
315	0.02082851771
316	0.02079287022
317	0.0207583143
318	0.02073760291
319	0.02066090977
320	0.02057666588
321	0.02057228484
322	0.02052491064
323	0.0205201465
324	0.02045277801
325	0.02044932661
326	0.0204151902
327	0.02035172247
328	0.02034751502
329	0.02033915107
330	0.02033587247
331	0.02028139076
332	0.02021809904
333	0.02021207867
334	0.02011529263
335	0.02005536507
336	0.02000877976
337	0.01996302188
338	0.01994852893
339	0.0199206092
340	0.01987638125
341	0.01981058622
342	0.01979670694
343	0.01978724782
344	0.01972656956
345	0.01971109305
346	0.01970658105
347	0.01961548579
348	0.01957826593
349	0.01950749902
350	0.01944909695
351	0.01944412948
352	0.01939676427
353	0.01938818704
354	0.01938074572
355	0.01934542599
356	0.01930890748
357	0.01925851527
358	0.01921757429
359	0.01916338711
360	0.01914166103
361	0.01912940721
362	0.01907990654
363	0.01906405775
364	0.01902587449
365	0.01897899537
366	0.01893598025
367	0.01893344451
368	0.01892774016
369	0.01892385769
370	0.01890686853
371	0.01882855879
372	0.01879753049
373	0.01878907008
374	0.01874563554
375	0.01874189885
376	0.01870303904
377	0.0186939184
378	0.0186164243
379	0.01858847461
380	0.01853939779
381	0.018498841
382	0.01848437913
383	0.01847959067
384	0.01846174885
385	0.01839205921
386	0.01837964774
387	0.01833371451
388	0.01828043314
389	0.01827607163
390	0.01821515524
391	0.01820247969
392	0.01815107249
393	0.0180965717
394	0.01806539664
395	0.01804860639
396	0.0180351784
397	0.01801400582
398	0.01796540858
399	0.0179612678
400	0.01795306085
401	0.01790444744
402	0.01789833091
403	0.017827279
404	0.01781159076
405	0.01774490833
406	0.01769969853
407	0.01769180861
408	0.01767852441
409	0.01766357615
410	0.01765334541
411	0.01759741169
412	0.01758815471
413	0.01756643869
414	0.01756096057
415	0.01754658066
416	0.01753307742
417	0.01747521045
418	0.01746275632
419	0.01745336791
420	0.01743795888
421	0.01736967056
422	0.01735013986
423	0.01728416394
424	0.0172480533
425	0.01722846108
426	0.01720709236
427	0.01718670068
428	0.01717871315
429	0.01712523569
430	0.01708971244
431	0.01707533363
432	0.01703896999
433	0.016984439
434	0.01697775299
435	0.0169368864
436	0.0168949312
437	0.01687473103
438	0.01682661937
439	0.01679993028
440	0.01678355578
441	0.01677296091
442	0.01675299986
443	0.01671861252
444	0.0166814395
445	0.01662408235
446	0.01662055391
447	0.01657987958
448	0.01652771335
449	0.01650723829
450	0.01650054264
451	0.0164770575
452	0.0164318875
453	0.01638170327
454	0.01633399451
455	0.01628724024
456	0.01628328195
457	0.01625172616
458	0.01618999176
459	0.01618347551
460	0.01617835374
461	0.01612497478
462	0.01608159501
463	0.0160410552
464	0.01600536211
465	0.01595635558
466	0.01589888558
467	0.01589399456
468	0.01584040392
469	0.01583327831
470	0.01582849466
471	0.01582034331
472	0.0158185477
473	0.01578236156
474	0.01574099107
475	0.01571856275
476	0.01570167173
477	0.01569661737
478	0.01568190411
479	0.01563191122
480	0.01562973596
481	0.01561307507
482	0.01555804445
483	0.01550240392
484	0.0154606415
485	0.01541400921
486	0.01539812532
487	0.0153887753
488	0.01538287111
489	0.01537240659
490	0.01536963674
491	0.01534778144
492	0.0153110567
493	0.01530602355
494	0.01524623755
495	0.01522558654
496	0.01518404252
497	0.01514064306
498	0.01513353748
499	0.01509077082
